Inclusive jets & 1.000 \textit{(0.996, 1.000)} & 1.000 \textit{(0.996, 1.000)} & 1.000 \textit{(0.996, 1.000)} \\ 
Linearly decr. & 1.000 \textit{(0.996, 1.000)} & 1.000 \textit{(0.996, 1.000)} & 0.969 \textit{(0.956, 0.979)} \\ 
Constant & 1.000 \textit{(0.996, 1.000)} & 0.947 \textit{(0.931, 0.960)} & 0.945 \textit{(0.929, 0.958)} \\
